
 Name                 Type            Min        Max      Global  CL    Cfg

 ar                   Flag            No         No         Yes   Yes   Yes
 noar                 Flag            No         No         Yes   Yes   Yes
 lircc                Flag            No         No         Yes   Yes   Yes
 nolircc              Flag            No         No         Yes   Yes   Yes
 lirc                 Flag            No         No         Yes   Yes   Yes
 nolirc               Flag            No         No         Yes   Yes   Yes
 joystick             Flag            No         No         Yes   Yes   Yes
 nojoystick           Flag            No         No         Yes   Yes   Yes
 input:nodefault-bind Flag            No         No         Yes   Yes   Yes
 input:default-bindin Flag            No         No         Yes   Yes   Yes
 input:file           String          No         No         Yes   Yes   Yes
 input:js-dev         String          No         No         Yes   Yes   Yes
 input:cmdlist        Func            No         No         Yes   Yes   Yes
 input:keylist        Func            No         No         Yes   Yes   Yes
 input:ar-rate        Integer         No         No         Yes   Yes   Yes
 input:ar-delay       Integer         No         No         Yes   Yes   Yes
 input:ar-dev         String          No         No         Yes   Yes   Yes
 input:conf           String          No         No         Yes   Yes   Yes
 nofontconfig         Flag            No         No         No    Yes   Yes
 fontconfig           Flag            No         No         No    Yes   Yes
 ass-hinting          Integer         0          7          No    Yes   Yes
 ass-styles           String          No         No         No    Yes   Yes
 ass-border-color     String          No         No         No    Yes   Yes
 ass-color            String          No         No         No    Yes   Yes
 ass-force-style      String list     No         No         No    Yes   Yes
 noembeddedfonts      Flag            No         No         No    Yes   Yes
 embeddedfonts        Flag            No         No         No    Yes   Yes
 noass-use-margins    Flag            No         No         No    Yes   Yes
 ass-use-margins      Flag            No         No         No    Yes   Yes
 ass-bottom-margin    Integer         0          2000       No    Yes   Yes
 ass-top-margin       Integer         0          2000       No    Yes   Yes
 ass-line-spacing     Float           -1000      1000       No    Yes   Yes
 ass-font-scale       Float           0          100        No    Yes   Yes
 noass                Flag            No         No         No    Yes   Yes
 ass                  Flag            No         No         No    Yes   Yes
 subfont-autoscale    Integer         0          3          No    Yes   Yes
 subfont-outline      Float           0          8          No    Yes   Yes
 subfont-blur         Float           0          8          No    Yes   Yes
 subfont-osd-scale    Float           0          100        No    Yes   Yes
 subfont-text-scale   Float           0          100        No    Yes   Yes
 subfont-encoding     String          No         No         No    Yes   Yes
 spugauss             Float           0          3          No    Yes   Yes
 spuaa                Integer         0          31         No    Yes   Yes
 spualign             Integer         -1         2          No    Yes   Yes
 subwidth             Integer         10         100        No    Yes   Yes
 subalign             Integer         0          2          No    Yes   Yes
 subpos               Integer         0          100        No    Yes   Yes
 ffactor              Float           0          10         No    Yes   Yes
 subfont              String          No         No         No    Yes   Yes
 font                 String          No         No         No    Yes   Yes
 sub-fuzziness        Integer         0          2          No    Yes   Yes
 sub-no-text-pp       Flag            No         No         No    Yes   Yes
 sub-bg-alpha         Integer         0          255        No    Yes   Yes
 sub-bg-color         Integer         0          255        No    Yes   Yes
 nooverlapsub         Flag            No         No         No    Yes   Yes
 overlapsub           Flag            No         No         No    Yes   Yes
 nosubcc              Flag            No         No         No    Yes   Yes
 subcc                Integer         0          4          No    Yes   Yes
 ifo                  String          No         No         No    Yes   Yes
 unrarexec            String          No         No         No    Yes   Yes
 vobsubid             Integer         0          31         No    Yes   Yes
 vobsub               String          No         No         No    Yes   Yes
 forcedsubsonly       Flag            No         No         No    Yes   Yes
 noutf8               Flag            No         No         No    Yes   Yes
 utf8                 Flag            No         No         No    Yes   Yes
 nounicode            Flag            No         No         No    Yes   Yes
 unicode              Flag            No         No         No    Yes   Yes
 noautosub            Flag            No         No         No    Yes   Yes
 autosub              Flag            No         No         No    Yes   Yes
 subfps               Float           No         No         No    Yes   Yes
 subdelay             Float           No         No         No    Yes   Yes
 subcp                String          No         No         No    Yes   Yes
 noflip-hebrew-commas Flag            No         No         No    Yes   Yes
 flip-hebrew-commas   Flag            No         No         No    Yes   Yes
 noflip-hebrew        Flag            No         No         No    Yes   Yes
 flip-hebrew          Flag            No         No         No    Yes   Yes
 fribidi-charset      String          No         No         No    Yes   Yes
 sub-paths            String list     No         No         No    Yes   Yes
 sub                  String list     No         No         No    Yes   Yes
 codecs-file          String          No         No         No    Yes   Yes
 xvidopts:dering-chro Flag            No         No         No    Yes   Yes
 xvidopts:dering-luma Flag            No         No         No    Yes   Yes
 xvidopts:deblock-chr Flag            No         No         No    Yes   Yes
 xvidopts:deblock-lum Flag            No         No         No    Yes   Yes
 xvidopts:filmeffect  Flag            No         No         No    Yes   Yes
 xvidopts:nodr2       Flag            No         No         No    Yes   Yes
